Contact,Salutation,Job Title,Electorate,Party,Parliament Email 
"Lubeck, Maria",,List Member,,Labour Party,Maria.Lubeck@parliament.govt.nz
"Luxton, Jo",,List Member,,Labour Party,Jo.Luxton@parliament.govt.nz
"Macindoe, Tim",Hon,Member for Hamilton West,Hamilton West,National Party,Tim.Macindoe@parliament.govt.nz
"Mahuta, Nanaia",Hon,Member for Hauraki-Waikato,Hauraki-Waikato,Labour Party,Nanaia.Mahuta@parliament.govt.nz
"Mallard, Trevor",Rt. Hon.,List Member,,Labour Party,Trevor.Mallard@parliament.govt.nz
"Marcroft, Jennifer",,List Member,,NZ First,Jennifer.Marcroft@parliament.govt.nz
"Mark, Ron",Hon,List Member,,NZ First,Ron.Mark@parliament.govt.nz
"Martin, Tracey",Hon,List Member,,NZ First,Tracey.Martin@parliament.govt.nz
"McAnulty, Kieran",,List Member,,Labour Party,Kieran.McAnulty@parliament.govt.nz
"McClay, Todd",Hon,Member for Rotorua,Rotorua,National Party,Todd.McClay@parliament.govt.nz
"McKelvie, Ian",,Member for Rangitikei,Rangitikei,National Party,Ian.Mckelvie@parliament.govt.nz
"Mitchell, Clayton",,List Member,,NZ First,Clayton.Mitchell@parliament.govt.nz
"Mitchell, Mark",Hon,Member for Rodney,Rodney,National Party,Mark.Mitchell@parliament.govt.nz
"Muller, Todd",,Member for Bay of Plenty,Bay of Plenty,National Party,Todd.Muller@parliament.govt.nz
"Nash, Stuart",Hon,Member for Napier,Napier,Labour Party,Stuart.Nash@parliament.govt.nz
"Ngaro, Alfred",Hon,List Member,,National Party,Alfred.Ngaro@parliament.govt.nz
"O'Connor, Damien",Hon,Member for West Coast-Tasman,West Coast-Tasman,Labour Party,Damien.O'Connor@parliament.govt.nz
"O'Connor, Gregory",,Member for Ohariu,Ohariu,Labour Party,greg.oconnor@parliament.govt.nz
"O'Connor, Simon",,Member for Tamaki,Tamaki,National Party,simon.oconnor@parliament.govt.nz
"Parker, David",Hon,List Member,,Labour Party,David.Parker@parliament.govt.nz
"Parmar, Parmjeet",Dr.,List Member,,National Party,Parmjeet.Parmar@parliament.govt.nz
"Patterson, Mark",,List Member,,NZ First,Mark.Patterson@parliament.govt.nz
"Penk, Chris",,Member for Helensville,Helensville,National Party,chris.penk@parliament.govt.nz
"Peters, Winston",Rt. Hon.,List Member,,NZ First,Winston.Peters@parliament.govt.nz
"Prime, Willow-Jean",,List Member,,Labour Party,Willow-Jean.Prime@parliament.govt.nz
"Pugh, Maureen",,List Member,,National Party,Maureen.Pugh@parliament.govt.nz
"Radhakrishnan, Priyanca",,List Member,,Labour Party,Priyanca.Radhakrishnan@parliament.govt.nz
"Reti, Shane",Dr.,Member for Whangarei,Whangarei,National Party,Shane.Reti@parliament.govt.nz
"Robertson, Grant",Hon,Member for Wellington Central,Wellington Central,Labour Party,Grant.Robertson@parliament.govt.nz
"Ross, Jami-Lee",,Member for Botany,Botany,National Party,Jami-Lee.Ross@parliament.govt.nz
"Rurawhe, Adrian",,Member for Te Tai Hauauru,Te Tai Hauauru,Labour Party,Adrian.Rurawhe@parliament.govt.nz
"Russell, Deborah",Dr.,Member for New Lynn,New Lynn,Labour Party,Deborah.Russell@parliament.govt.nz
"Sage, Eugenie",Hon,List Member,,Green Party,Eugenie.Sage@parliament.govt.nz
"Salesa, Jenny",Hon,Member for Manukau East,Manukau East,Labour Party,Jenny.Salesa@parliament.govt.nz
"Scott, Alastair",,Member for Wairarapa,Wairarapa,National Party,Alastair.Scott@parliament.govt.nz
"Sepuloni, Carmel",Hon,Member for Kelston,Kelston,Labour Party,Carmel.Sepuloni@parliament.govt.nz
"Seymour, David",,Member for Epsom,Epsom,ACT New Zealand,David.Seymour@parliament.govt.nz
"Shaw, James",Hon,List Member,,Green Party,James.Shaw@parliament.govt.nz
"Simpson, Scott",Hon,Member for Coromandel,Coromandel,National Party,Scott.Simpson@parliament.govt.nz
"Sio, Aupito William",Hon,Member for Mangere,Mangere,Labour Party,Aupito.william.sio@parliament.govt.nz
"Smith, Nick",Hon. Dr.,Member for Nelson,Nelson,National Party,Nick.Smith@parliament.govt.nz
"Smith, Stuart",,Member for Kaikoura,Kaikoura,National Party,Stuart.Smith@parliament.govt.nz
"Stanford, Erica",,Member for East Coast Bays,East Coast Bays,National Party,erica.stanford@parliament.govt.nz
"Strange, Jamie",,List Member,,Labour Party,Jamie.Strange@parliament.govt.nz
"Swarbrick, Chlše",,List Member,,Green Party,Chloe.Swarbrick@parliament.govt.nz
"Tabuteau, Fletcher",,List Member,,NZ First,Fletcher.Tabuteau@parliament.govt.nz
"Tinetti, Jan",,List Member,,Labour Party,Jan.Tinetti@parliament.govt.nz
"Tirikatene, Rino",,Member for Te Tai Tonga,Te Tai Tonga,Labour Party,Rino.Tirikatene@parliament.govt.nz
"Tolley, Anne",Hon,Member for East Coast,East Coast,National Party,Anne.Tolley@parliament.govt.nz
"Twyford, Philip",Hon,Member for Te Atatu,Te Atatu,Labour Party,Philip.Twyford@parliament.govt.nz
"Upston, Louise",Hon,Member for Taupo,Taupo,National Party,Louise.Upston@parliament.govt.nz
"van de Molen, Timothy",,Member for Waikato,Waikato,National Party,Tim.vandeMolen@parliament.govt.nz
"Wagner, Nicky",Hon,List Member,,National Party,Nicky.Wagner@parliament.govt.nz
"Walker, Hamish",,Member for Clutha-Southland,Clutha-Southland,National Party,Hamish.Walker@parliament.govt.nz
"Wall, Louisa",,Member for Manurewa,Manurewa,Labour Party,Louisa.Wall@parliament.govt.nz
"Warren-Clark, Angie",,List Member,,Labour Party,Angie.Warren-Clark@parliament.govt.nz
"Webb, Duncan",Dr.,Member for Christchurch Central,Christchurch Central,Labour Party,Duncan.Webb@parliament.govt.nz
"Whaitiri, Meka",Hon,Member for Ikaroa-Rawhiti,Ikaroa-Rawhiti,Labour Party,Meka.Whaitiri@parliament.govt.nz
"Williams, Poto",,Member for Christchurch East,Christchurch East,Labour Party,poto.williams@parliament.govt.nz
"Willis, Nicola",,List Member,,National Party,Nicola.Willis@parliament.govt.nz
"Wood, Michael",,Member for Mt Roskill,Mt Roskill,Labour Party,Michael.Wood@parliament.govt.nz
"Woodhouse, Michael",Hon,List Member,,National Party,Michael.Woodhouse@parliament.govt.nz
"Woods, Megan",Hon. Dr.,Member for Wigram,Wigram,Labour Party,Megan.Woods@parliament.govt.nz
"Yang, Jian",Dr.,List Member,,National Party,Jian.Yang@parliament.govt.nz
"Young, Jonathan",,Member for New Plymouth,New Plymouth,National Party,Jonathan.Young@parliament.govt.nz
"Yule, Lawrence",,Member for Tukituki,Tukituki,National Party,Lawrence.Yule@parliament.govt.nz
